0	train loss: tensor(11.4605, device='cuda:0') now mAP: 0.00821
1	train loss: tensor(5.4801, device='cuda:0')	now mAP: 0.02156
2	train loss: tensor(4.1980, device='cuda:0')	now mAP: 0.04383
3	train loss: tensor(3.3699, device='cuda:0')	now mAP: 0.06688
4	train loss: tensor(2.7635, device='cuda:0')	now mAP: 0.05564
5	train loss: tensor(2.2614, device='cuda:0')	now mAP: 0.08679
6	train loss: tensor(1.8788, device='cuda:0')	now mAP: 0.09826
7	train loss: tensor(1.6000, device='cuda:0')	now mAP: 0.11636
8	train loss: tensor(1.3379, device='cuda:0')	now mAP: 0.14332
9	train loss: tensor(1.1460, device='cuda:0')	now mAP: 0.12541
10	train loss: tensor(0.9737, device='cuda:0')	now mAP: 0.12709
11	train loss: tensor(0.8422, device='cuda:0')	now mAP: 0.12176
12	train loss: tensor(0.7546, device='cuda:0')	now mAP: 0.13040
13	train loss: tensor(0.6677, device='cuda:0')	now mAP: 0.11929
14	train loss: tensor(0.5973, device='cuda:0')	now mAP: 0.16616
15	train loss: tensor(0.5471, device='cuda:0')	now mAP: 0.15234
16	train loss: tensor(0.5055, device='cuda:0')	now mAP: 0.17191
17	train loss: tensor(0.4723, device='cuda:0')	now mAP: 0.16363
18	train loss: tensor(0.4321, device='cuda:0')	now mAP: 0.17856
19	train loss: tensor(0.4168, device='cuda:0')	now mAP: 0.16138
20	train loss: tensor(0.4062, device='cuda:0')	now mAP: 0.16082
21	train loss: tensor(0.3745, device='cuda:0')	now mAP: 0.16264
22	train loss: tensor(0.3484, device='cuda:0')	now mAP: 0.15655
23	train loss: tensor(0.3328, device='cuda:0')	now mAP: 0.15610
24	train loss: tensor(0.3176, device='cuda:0')	now mAP: 0.18378
25	train loss: tensor(0.2982, device='cuda:0')	now mAP: 0.17190
26	train loss: tensor(0.2806, device='cuda:0')	now mAP: 0.15629
27	train loss: tensor(0.2761, device='cuda:0')	now mAP: 0.17290
28	train loss: tensor(0.2556, device='cuda:0')	now mAP: 0.18134
29	train loss: tensor(0.2477, device='cuda:0')	now mAP: 0.17087
30	train loss: tensor(0.2412, device='cuda:0')	now mAP: 0.16956
31	train loss: tensor(0.2227, device='cuda:0')	now mAP: 0.16872
32	train loss: tensor(0.2199, device='cuda:0')	now mAP: 0.17629
33	train loss: tensor(0.2188, device='cuda:0')	now mAP: 0.15238
34	train loss: tensor(0.2130, device='cuda:0')	now mAP: 0.17460
35	train loss: tensor(0.2035, device='cuda:0')	now mAP: 0.16688
36	train loss: tensor(0.1973, device='cuda:0')	now mAP: 0.17143
37	train loss: tensor(0.1876, device='cuda:0')	now mAP: 0.16991
38	train loss: tensor(0.1877, device='cuda:0')	now mAP: 0.17957
39	train loss: tensor(0.1775, device='cuda:0')	now mAP: 0.17255
40	train loss: tensor(0.1793, device='cuda:0')	now mAP: 0.17343
41	train loss: tensor(0.1707, device='cuda:0')	now mAP: 0.17994
42	train loss: tensor(0.1679, device='cuda:0')	now mAP: 0.17915
43	train loss: tensor(0.1628, device='cuda:0')	now mAP: 0.17533
44	train loss: tensor(0.1567, device='cuda:0')	now mAP: 0.18091
45	train loss: tensor(0.1576, device='cuda:0')	now mAP: 0.18683
46	train loss: tensor(0.1511, device='cuda:0')	now mAP: 0.18054
47	train loss: tensor(0.1523, device='cuda:0')	now mAP: 0.18113
48	train loss: tensor(0.1465, device='cuda:0')	now mAP: 0.17353
49	train loss: tensor(0.1459, device='cuda:0')	now mAP: 0.18018
50	train loss: tensor(0.1407, device='cuda:0')	now mAP: 0.18818
51	train loss: tensor(0.1352, device='cuda:0')	now mAP: 0.18188
52	train loss: tensor(0.1310, device='cuda:0')	now mAP: 0.18396
53	train loss: tensor(0.1290, device='cuda:0')	now mAP: 0.18607
54	train loss: tensor(0.1292, device='cuda:0')	now mAP: 0.18073
55	train loss: tensor(0.1267, device='cuda:0')	now mAP: 0.18226
56	train loss: tensor(0.1208, device='cuda:0')	now mAP: 0.16848
57	train loss: tensor(0.1228, device='cuda:0')	now mAP: 0.16768
58	train loss: tensor(0.1155, device='cuda:0')	now mAP: 0.18770
59	train loss: tensor(0.1121, device='cuda:0')	now mAP: 0.17830
60	train loss: tensor(0.1115, device='cuda:0')	now mAP: 0.17557
61	train loss: tensor(0.1065, device='cuda:0')	now mAP: 0.18291
62	train loss: tensor(0.1054, device='cuda:0')	now mAP: 0.17867
63	train loss: tensor(0.1112, device='cuda:0')	now mAP: 0.18449
64	train loss: tensor(0.1047, device='cuda:0')	now mAP: 0.18969
65	train loss: tensor(0.1081, device='cuda:0')	now mAP: 0.19023
66	train loss: tensor(0.1001, device='cuda:0')	now mAP: 0.18163
67	train loss: tensor(0.1031, device='cuda:0')	now mAP: 0.17979
68	train loss: tensor(0.1030, device='cuda:0')	now mAP: 0.18818
69	train loss: tensor(0.1055, device='cuda:0')	now mAP: 0.18205
70	train loss: tensor(0.1026, device='cuda:0')	now mAP: 0.19167
71	train loss: tensor(0.0951, device='cuda:0')	now mAP: 0.18556
72	train loss: tensor(0.0937, device='cuda:0')	now mAP: 0.18767
73	train loss: tensor(0.0930, device='cuda:0')	now mAP: 0.19658
74	train loss: tensor(0.0956, device='cuda:0')	now mAP: 0.19123
75	train loss: tensor(0.0915, device='cuda:0')	now mAP: 0.19052
76	train loss: tensor(0.0879, device='cuda:0')	now mAP: 0.18672
77	train loss: tensor(0.0870, device='cuda:0')	now mAP: 0.18180
78	train loss: tensor(0.0861, device='cuda:0')	now mAP: 0.18888
79	train loss: tensor(0.0864, device='cuda:0')	now mAP: 0.18646
80	train loss: tensor(0.0894, device='cuda:0')	now mAP: 0.19167
81	train loss: tensor(0.0830, device='cuda:0')	now mAP: 0.18437
82	train loss: tensor(0.0862, device='cuda:0')	now mAP: 0.18904
83	train loss: tensor(0.0816, device='cuda:0')	now mAP: 0.19296
84	train loss: tensor(0.0793, device='cuda:0')	now mAP: 0.19062
85	train loss: tensor(0.0823, device='cuda:0')	now mAP: 0.18957
86	train loss: tensor(0.0790, device='cuda:0')	now mAP: 0.18691
87	train loss: tensor(0.0787, device='cuda:0')	now mAP: 0.19085
88	train loss: tensor(0.0807, device='cuda:0')	now mAP: 0.18782
89	train loss: tensor(0.0779, device='cuda:0')	now mAP: 0.19294
90	train loss: tensor(0.0771, device='cuda:0')	now mAP: 0.19588
91	train loss: tensor(0.0760, device='cuda:0')	now mAP: 0.18892
92	train loss: tensor(0.0777, device='cuda:0')	now mAP: 0.19392
93	train loss: tensor(0.0722, device='cuda:0')	now mAP: 0.19136
94	train loss: tensor(0.0697, device='cuda:0')	now mAP: 0.18948
95	train loss: tensor(0.0693, device='cuda:0')	now mAP: 0.19405
96	train loss: tensor(0.0693, device='cuda:0')	now mAP: 0.19260
