0	train loss: tensor(11.0026, device='cuda:0') now mAP: 0.00761
1	train loss: tensor(4.9824, device='cuda:0')	now mAP: 0.01718
2	train loss: tensor(3.9184, device='cuda:0')	now mAP: 0.04524
3	train loss: tensor(3.1601, device='cuda:0')	now mAP: 0.07294
4	train loss: tensor(2.6238, device='cuda:0')	now mAP: 0.10016
5	train loss: tensor(2.1309, device='cuda:0')	now mAP: 0.11051
6	train loss: tensor(1.7381, device='cuda:0')	now mAP: 0.12972
7	train loss: tensor(1.4139, device='cuda:0')	now mAP: 0.12958
8	train loss: tensor(1.1558, device='cuda:0')	now mAP: 0.14079
9	train loss: tensor(0.9574, device='cuda:0')	now mAP: 0.14882
10	train loss: tensor(0.8181, device='cuda:0')	now mAP: 0.16715
11	train loss: tensor(0.6847, device='cuda:0')	now mAP: 0.16387
12	train loss: tensor(0.5976, device='cuda:0')	now mAP: 0.16171
13	train loss: tensor(0.5321, device='cuda:0')	now mAP: 0.16472
14	train loss: tensor(0.4717, device='cuda:0')	now mAP: 0.16166
15	train loss: tensor(0.4267, device='cuda:0')	now mAP: 0.16900
16	train loss: tensor(0.3953, device='cuda:0')	now mAP: 0.17099
17	train loss: tensor(0.3682, device='cuda:0')	now mAP: 0.15269
18	train loss: tensor(0.3423, device='cuda:0')	now mAP: 0.17907
19	train loss: tensor(0.3201, device='cuda:0')	now mAP: 0.17332
20	train loss: tensor(0.2848, device='cuda:0')	now mAP: 0.17157
21	train loss: tensor(0.2682, device='cuda:0')	now mAP: 0.17036
22	train loss: tensor(0.2562, device='cuda:0')	now mAP: 0.16865
23	train loss: tensor(0.2468, device='cuda:0')	now mAP: 0.17127
24	train loss: tensor(0.2310, device='cuda:0')	now mAP: 0.17055
25	train loss: tensor(0.2211, device='cuda:0')	now mAP: 0.16950
26	train loss: tensor(0.2147, device='cuda:0')	now mAP: 0.18098
27	train loss: tensor(0.1996, device='cuda:0')	now mAP: 0.18734
28	train loss: tensor(0.1875, device='cuda:0')	now mAP: 0.18275
29	train loss: tensor(0.1890, device='cuda:0')	now mAP: 0.18631
30	train loss: tensor(0.1782, device='cuda:0')	now mAP: 0.18975
31	train loss: tensor(0.1675, device='cuda:0')	now mAP: 0.17462
32	train loss: tensor(0.1661, device='cuda:0')	now mAP: 0.19213
33	train loss: tensor(0.1636, device='cuda:0')	now mAP: 0.18076
34	train loss: tensor(0.1561, device='cuda:0')	now mAP: 0.18383
35	train loss: tensor(0.1454, device='cuda:0')	now mAP: 0.18576
36	train loss: tensor(0.1409, device='cuda:0')	now mAP: 0.18902
37	train loss: tensor(0.1422, device='cuda:0')	now mAP: 0.19496
38	train loss: tensor(0.1420, device='cuda:0')	now mAP: 0.18212
39	train loss: tensor(0.1310, device='cuda:0')	now mAP: 0.17382
40	train loss: tensor(0.1285, device='cuda:0')	now mAP: 0.18184
41	train loss: tensor(0.1298, device='cuda:0')	now mAP: 0.19046
42	train loss: tensor(0.1267, device='cuda:0')	now mAP: 0.19833
43	train loss: tensor(0.1178, device='cuda:0')	now mAP: 0.19212
44	train loss: tensor(0.1134, device='cuda:0')	now mAP: 0.19051
45	train loss: tensor(0.1119, device='cuda:0')	now mAP: 0.19293
46	train loss: tensor(0.1104, device='cuda:0')	now mAP: 0.19013
47	train loss: tensor(0.1070, device='cuda:0')	now mAP: 0.18336
48	train loss: tensor(0.1039, device='cuda:0')	now mAP: 0.18372
49	train loss: tensor(0.1055, device='cuda:0')	now mAP: 0.19258
